Affiliated_Code,Affiliated_NAME,POSTALCODE,Engage,Management_Cluster,Location,Tam_m2,CPRO,CMUN,municipio_id,CODAUTO,Municipio,Provincia,Comunidad_autónoma
WjpeAAD,JULIO-704,18613,2,4,VACATIONAL,>20m2,18,140,18140,01,Motril,Granada,Andalucía
Wjs7AAD,CAMI-741,03801,2,0,ANY,>20m2,03,009,03009,10,Alcoi/Alcoy,Alicante/Alacant,Comunitat Valenciana
WjvHAAT,PORTUARIOS-047,33212,1,0,ANY,5-10m2,33,024,33024,03,Gijón,Asturias,"Asturias, Principado de"
WjwRAAT,PONIENTE-682,08940,2,1,ESCAPE,<2m2,08,073,08073,09,Cornellà de Llobregat,Barcelona,Cataluña
Wk1bAAD,ARZOBISPO-006,03815,1,2,ESCAPE,2-5m2,03,103,03103,10,Penàguila,Alicante/Alacant,Comunitat Valenciana
Wk1YAAT,CERVANTES-152,13640,2,4,ANY,5-10m2,13,047,13047,08,Herencia,Ciudad Real,Castilla-La Mancha
WkGDAA1,CORREDERA-630,06131,1,2,COUNTRYSIDE,5-10m2,06,007,06007,11,Alconchel,Badajoz,Extremadura
WkgfAAD,FLORIDABLANCA-754,08015,2,4,BORDER,5-10m2,08,019,08019,09,Barcelona,Barcelona,Cataluña
WkHsAAL,CONCEPCION-787,36950,2,1,ESCAPE,5-10m2,36,029,36029,12,Moaña,Pontevedra,Galicia
WkIZAA1,MAGDALENA-712,33009,2,0,ANY,2-5m2,33,044,33044,03,Oviedo,Asturias,"Asturias, Principado de"
Wkn9AAD,GAVA-602,08014,2,0,BORDER,10-20m2,08,019,08019,09,Barcelona,Barcelona,Cataluña
WknGAAT,NAGUSIA-739,48970,2,0,ANY,10-20m2,48,015,48015,16,Basauri,Bizkaia,País Vasco
WkO0AAL,MODESTO-661,34002,2,1,ANY,2-5m2,34,120,34120,07,Palencia,Palencia,Castilla y León
WkUtAAL,LEON-736,41009,2,0,CITY,2-5m2,41,091,41091,01,Sevilla,Sevilla,Andalucía
WkV8AAL,CONJUNTO-701,29749,1,1,LEISURE,NA,29,094,29094,01,Vélez-Málaga,Málaga,Andalucía
WkZdAAL,CATALUNYA-641,08757,3,4,VILLAGE,5-10m2,08,072,08072,09,Corbera de Llobregat,Barcelona,Cataluña
Wl1IAAT,SANTA-617,08690,2,2,ANY,5-10m2,08,244,08244,09,Santa Coloma de Cervelló,Barcelona,Cataluña
WlP5AAL,DOCTOR-605,18750,2,0,VACATIONAL,5-10m2,18,162,18162,01,Polopos,Granada,Andalucía
