Affiliated_Code,Tamaño_Local,Frecuencia_Pedidos,Sensibilidad_Clima,Ventas_Festivos,Tasa_Roturas,Cluster
WTF4AAP,1519,134,0.9476902132142145,0.14035087719298245,0.03132832080200501,4
WTFeAAP,429,43,0.7337476144025108,0.19047619047619047,0.0013605442176870747,4
WTGAAA5,4020,284,1.5781213812647858,0.47435897435897434,0.004945054945054945,2
WTLwAAP,54,9,0.26974431542301636,0,0,4
WTMWAA5,2224,153,1.1656573739181078,0.06060606060606061,0.0012987012987012987,3
WTMXAA5,2297,243,1.0685398471443635,0.6666666666666666,0.017543859649122806,3
WTNcAAP,1627,121,1.424281932478827,0.22916666666666666,0.01369047619047619,3
WTNeAAP,2370,227,1.0197651696226997,0.19696969696969696,0.011904761904761904,3
WTNgAAP,461,52,0.521957503123136,0.08333333333333333,0.024404761904761905,4
WTYhAAP,1108,107,0.8338558862326215,0.16666666666666666,0.02,4
WTYiAAP,191,20,0.3745516861601631,0,0.05714285714285714,1
WTYmAAP,487,62,0.7061002852735064,0.1111111111111111,0.0326984126984127,4
WTYoAAP,849,109,0.7119407530376239,0.23809523809523808,0.005102040816326531,4
WTYrAAP,711,84,0.6927755039789087,0.06060606060606061,0.04112554112554113,4
WTYuAAP,1780,169,1.1867877161918188,0.3492063492063492,0.014058956916099773,3
WTYvAAP,285,45,0.5453808309346294,0,0.022023809523809525,4
WTZ8AAP,3075,258,1.2139910012244177,0.9047619047619048,0.0031746031746031746,2
WTZ9AAP,986,168,0.6793826553200536,0.07936507936507936,0.01473922902494331,4
WTZFAA5,513,68,0.7089845039395305,0.14285714285714285,0.017006802721088437,4
WTZLAA5,1622,179,0.7824630351372294,0.1388888888888889,0.001984126984126984,4
WTZVAA5,288,28,0.4744258831770309,0.16666666666666666,0.002380952380952381,4
WTZXAA5,2272,207,1.3684364395989372,0.46296296296296297,0.013227513227513229,3
WTZiAAP,539,69,0.988211331782392,0.037037037037037035,0.0021164021164021165,4
WTZjAAP,2502,265,1.1379903876598276,0.3333333333333333,0.0030952380952380953,3
WTZnAAP,1142,104,0.8837311709000764,0,0.0014285714285714286,4
WTZpAAP,688,89,0.7818068810299421,0.11904761904761904,0.015646258503401362,4
WTZzAAP,1498,115,1.031893154496068,0.047619047619047616,0.024489795918367346,4
WTa9AAH,218,22,0.9045340337332909,0,0,4
WTaLAAX,2165,157,1.2368102401917136,0.07575757575757576,0.010173160173160173,3
WTaPAAX,1185,143,0.9753879559917245,0.2222222222222222,0.037142857142857144,4
WTacAAH,1983,185,1.100693722501468,0.18333333333333332,0.030476190476190476,3
WTafAAH,630,83,0.5654926762043787,0.037037037037037035,0.019576719576719578,4
WTanAAH,54,12,0.25437350953458415,0.08333333333333333,0.06428571428571428,1
WTaoAAH,496,83,0.5347142637092082,0.047619047619047616,0.02074829931972789,4
WTawAAH,4755,295,1.6544742232326597,0.5,0.012337662337662338,2
WTazAAH,1526,161,0.9536965801031378,0.23809523809523808,0.02142857142857143,3
WTb9AAH,108,9,0.42499879261878143,0.06666666666666667,0.07714285714285714,1
WTbFAAX,404,73,0.4816624944243338,0.1111111111111111,0.01904761904761905,4
WTbJAAX,814,113,0.8248070289139213,0.28205128205128205,0.00805860805860806,4
WTbMAAX,1709,202,1.051381604480382,0.28888888888888886,0.011111111111111112,3
WTbRAAX,514,87,0.5437641293293082,0.08333333333333333,0.018253968253968255,4
WTblAAH,253,24,0.6294366339755545,0.06666666666666667,0.0019047619047619048,4
